aom 3.13.1
ast-grep 0.40.0
awk 20250116
azure-cli 2.79.0
bash 5.3.3
bash-language-server 5.6.0
bat 0.26.0
bitwarden-cli 2025.11.0
brotli 1.1.0 1.2.0
btop 1.4.5
c-ares 1.34.5
ca-certificates 2025-09-09 2025-11-04
cairo 1.18.4
certifi 2025.11.12
cloc 2.06
crush 0.12.0
dav1d 1.5.2
direnv 2.37.1
dotnet@8 8.0.121
dust 1.2.3
eza 0.23.4
fd 10.3.0
fontconfig 2.17.1
freetype 2.14.1_1
fribidi 1.0.16
fzf 0.67.0
gd 2.3.3_6
gdk-pixbuf 2.44.4
gemini-cli 0.9.0
gettext 0.26
gh 2.83.1
giflib 5.2.2
git-delta 0.18.2_3
git-filter-repo 2.47.0
glib 2.86.1
glow 2.1.1
gmp 6.3.0
gnupg 2.4.8
gnutls 3.8.10
go-task 3.45.5
goenv 2.2.32
gpgme 2.0.1
gpgmepp 2.0.0
graphite2 1.3.14
graphviz 14.0.2
grex 1.4.6
gts 0.7.6_3
harfbuzz 12.1.0
helix 25.07.1
highway 1.3.0
htop 3.4.1
httpie 3.2.4_4
icu4c@77 77.1
icu4c@78 78.1
imath 3.2.2
jasper 4.2.8
jpeg-turbo 3.1.2
jpeg-xl 0.11.1_3
jq 1.8.1
lazydocker 0.24.2
lazygit 0.56.0
libassuan 3.0.2
libavif 1.3.0
libdeflate 1.25
libevent 2.1.12_1
libgcrypt 1.11.2
libgit2 1.9.1
libgpg-error 1.56
libidn2 2.3.8
libksba 1.6.7
libnghttp2 1.67.1 1.68.0
libnghttp3 1.12.0
libngtcp2 1.16.0 1.17.0
libpng 1.6.50
librsvg 2.61.3
libsodium 1.0.20
libssh2 1.11.1
libtasn1 4.20.0
libtiff 4.7.1
libtool 2.5.4
libunistring 1.4.1
libusb 1.0.29
libuv 1.51.0
libvmaf 3.0.0
libx11 1.8.12
libxau 1.0.12
libxcb 1.17.0
libxdmcp 1.1.5
libxext 1.3.6
libxrender 0.9.12
libyaml 0.2.5
little-cms2 2.17
lld@20 20.1.8
llvm 21.1.2
llvm@20 20.1.8
lz4 1.10.0
lzo 2.10
m4 1.4.20
marksman 2024-12-18
mise 2025.11.8
mpdecimal 4.0.1
ncurses 6.5
netpbm 11.02.19
nettle 3.10.2
node 24.10.0 25.2.1
npth 1.8
nspr 4.38.2
nss 3.118.1
oniguruma 6.9.10
openexr 3.4.3
openjpeg 2.5.4
openjph 0.25.0
openssl@3 3.6.0
p11-kit 0.25.10
pango 1.57.0_1
pcre2 10.47
peg 0.1.19
pinentry 1.3.2
pixman 0.46.4
pkgconf 2.5.1
poppler 25.11.0
procs 0.14.10
python@3.13 3.13.9_1
python@3.14 3.14.0_1
readline 8.3.1
ripgrep 15.1.0
rust 1.90.0
sd 1.0.0
simdjson 4.2.2 4.0.7
sqlite 3.50.4 3.51.0
starship 1.24.1
taplo 0.10.0
tdd-guard 1.1.0
tlrc 1.12.0
tokei 12.1.2
tree 2.2.1
typescript 5.9.3
typescript-language-server 5.1.3
unbound 1.24.0 1.24.1
usage 2.8.0
uvwasi 0.0.23
vscode-langservers-extracted 4.10.0
webp 1.6.0
xorgproto 2024.1
xz 5.8.1
yaml-language-server 1.19.2
yq 4.48.2
z3 4.15.3
zellij 0.43.1
zig 0.15.2
zls 0.15.0
zoxide 0.9.8
zsh 5.9
zstd 1.5.7
bitwarden 2025.9.0
discord 0.0.363
docker-desktop 4.48.0,207573
drawio 28.2.5
intellij-idea-ce 2025.2.3,252.26830.84
iterm2 3.6.4
microsoft-auto-update 4.80.25073044
microsoft-teams 25255.703.3981.5698
obsidian 1.9.14
parsec 150-100e
proton-drive 2.8.0
protonvpn 6.0.0
spotify 1.2.74.477
transmission 4.0.6
visual-studio-code 1.105.1
windows-app 11.2.4
